"Warehouse","Category","Item Name","Catalog","Tracking Number","Comments","Unit of Measure","Currency","Unit Value","Quantity","Supplier/Donor"
"NROC Warehouse C","Textile/Curtain/etc","Bath Towel",,,,"pcs","PHP",95,11000,"A. M. Ramos"
"NROC Warehouse C","Textile/Curtain/etc","Bath Towel, asst color, 68.58x127cm",,,,"pcs","PHP",52,3581,"Merla B. Andres"
"NROC Warehouse C","Textile/Curtain/etc","Blanket, family size, 70x90 (Jakarta/Iloco)",,,,"pcs","PHP",99,3000,"A. M. Ramos"
"NROC Warehouse C","Textile/Curtain/etc","Blanket, family size, 80x90 (Rose Brand)",,,,"pcs","PHP",99,2325,"Merla B. Andres"
"NROC Warehouse C","Sleeping Gear","Blanket, used",,,,"pcs","PHP",30,160,"Filipino Expatriate Wire (Singapore)"
"NROC Warehouse C","Sleeping Gear","Blanket, used heavy",,,,"pcs","PHP",50,70,"Filipino Expatriate Wire (Singapore)"
"NROC Warehouse C","Clothings","Briefs, for men (XL: 16packs x5= 80pcs, L: 10packs x5= 50pcs M: 12packs x5+3pcs= 63pcs, S: 16packs x5= 80pcs)",,,,"box","PHP",8190,1,"Winace Holding Company"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Chain, steel, asstd sizes",,,,"bags","PHP",0,549,"China"
"NROC Warehouse C","Medical Equipment/Supplies","CHEMICAL PROTECTIVE BOOTS, Black (6pairs/case)",,,,"cs","PHP",6000,19,"Second Harvest Japan"
"NROC Warehouse E","Repacked","Clothing packs",,,,"pck","PHP",100,27177,"Various donors"
"NROC Warehouse C","Clothings","Clothing, used, assorted, blouse, t shirt, sweatshirt, children t shirt, etc.)",,,,"kgs","PHP",50,1487,"Sunlove, Singapore c/o BOC (2011-09-008)"
"NROC Warehouse A","Food Items","Coffee 3 in 1, Kopiko, 20g",,,,"pcs","PHP",3.69,284560,"Tridharma Marketing"
"NROC Warehouse A","Food Items","Coffee 3 in 1, San Mig",,,,"pcs","PHP",3.645,4580,"Puregold Price Club"
"NROC Warehouse C","Sleeping Gear","Comforter, used (15kilos)",,,,"pcs","PHP",40,10,"Filipino Expatriate Wire (Singapore)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Cord Reel",,,,"Unit","PHP",14770,2,"JICA (RN 08-06-007)"
"NROC Warehouse A","Food Items","Corned Beef (48tins/box) 150g, Bingo1",,,,"tins","PHP",15.59395833,199060,"Foodsphere Inc."
"NROC Warehouse A","Food Items","Corned Beef (48tins/box) 150g, Bingo2",,"FO-12005",,"tins","PHP",15.59395833,400032,"Foodsphere Inc."
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, 2XLarge, White, Inset Sleeve, Zipper Closure, Tappered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",8914.5,30,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, 3XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",9562.16,28,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, 5XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",11059.01,117,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, 8 Xlarge White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",8467.99,22,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, Large, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Hood, Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",7211.37,6,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, Large, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",7211.37,6,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, Medium, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",7211.37,5,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","COVERALL, Small, Blue, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,"cs","PHP",7211.37,20,"Second Harvest Japan"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","C-Perlin (19ft & 2.25"" x 4"" x 2"")",,,,"pcs","PHP",770.54,1435,"China (RN 07-11-013"
"NROC Warehouse C","Medical Equipment/Supplies","Crutch, forearm, aluminum, used (4ft)",,,,"pair","PHP",300,1,"Dubai, UAE (RN 2010-08-006)"
"NROC Warehouse C","Houseware Supplies","Cups, plastic with handle regular size",,,,"pcs","PHP",8.99,2852,"Emmaiah Mktg"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles  25x33cm 10pcs/box - Ceramics",,,,"bx","PHP",275,50,"BOC (RN 08-10-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles 10x30cm 20pcs/box - Ceramics",,,,"bx","PHP",200,25,"BOC (RN 08-10-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles 10x33cm 22pcs/box - Ceramics",,,,"bx","PHP",275,280,"BOC (RN 08-10-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles 5x20cm - Ceramics",,,,"pcs","PHP",8.5,9440,"BOC (RN 08-10-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles 5x20cm 60pcs/box - Ceramics",,,,"bx","PHP",510,70,"BOC (RN 08-10-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Decorative Boarder Tiles 5x30cm 40pcs/box - Ceramics",,,,"bx","PHP",200,33,"BOC (RN 08-10-013)"
"NROC Warehouse A","Food Items","Del Monte Fresh Cut Whole KernelCorn, 420g",,,,"cans","PHP",0,9,"ACS of the Philippines"
"NROC Warehouse A","Food Items","Del Monte Sweetened Pineapple, 1.36L",,,,"cans","PHP",0,10,"ACS of the Philippines"
"NROC Warehouse A","Food Items","Del Monte Tidbits Pineapple, 227g",,,,"cans","PHP",0,6,"ACS of the Philippines"
"NROC Warehouse C","Houseware Supplies","Dust mask, FOAM",,,,"pcs","PHP",6.5,14900,"Wyler Enter"
"NROC Warehouse C","Medical Equipment/Supplies","EASY DONNING TYVEK SLEEVE, Clean Room Whites, (50pairs/case)",,,,"cs","PHP",10288.02,34,"Second Harvest Japan"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Electrical outlet",,,,"pcs","PHP",58.83,300,"China (RN 07-11-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Electrical wire 10mm",,,,"roll","PHP",830.8,199,"China (RN 07-11-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Electrical wire 16mm",,,,"roll","PHP",2492.42,202,"China (RN 07-11-013)"
"NROC Warehouse E","Repacked","Family Food Packs (3kilos Rice, 5tins Sardines, 5tins Corned Beef)",,,,"pck","PHP",251.99,1,"NFA, Maple, Columbus, Pacific"
"NROC Warehouse E","Repacked","Family Food Packs (3kilos Rice, 5tins Sardines,3tins Corned Beef, 6pcs Coffee)",,,,"pck","PHP",249.4,253,"NFA, Universal, 4H, Puregold"
"NROC Warehouse E","Repacked","Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 6pcs Coffee)",,,,"pck","PHP",249.1,4,"NFA, Universal, Foodsphere, Puregold"
"NROC Warehouse E","Repacked","Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 8pcs Coffee)",,,,"pck","PHP",252.15,2752,"NFA, Universal, Foodsphere, Puregold"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Flourescent modulator tube",,,,"pcs","PHP",79.87,369,"China (RN 07-11-013)"
"NROC Warehouse A","Food Items","Fortified Soy Protein Meal Packages, 254g",,,,"pck","PHP",50,731,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","FROCKS, Medium, Blue Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (30pcs/case)",,,,"cs","PHP",13382.72,68,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","FROCKS, Medium, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,"cs","PHP",13382.72,10,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","FROCKS, Small, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,"cs","PHP",13120.14,29,"Second Harvest Japan"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Generator",,,,"Unit","PHP",37725,2,"JICA (RN 08-06-007)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Generator, Model JD3800/E",,,,"unit","PHP",17517.26,77,"China (RN 07-11-013)"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Glass louvre  5mmx100x1215mm ",,,,"sets","PHP",599.78,1053,"China (RN 07-11-013"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Glass louvre 5mmx100x860mm",,,,"sets","PHP",539.52,290,"China (RN 07-11-013"
"NROC Warehouse C","Houseware Supplies","Glass, plastic, drinking, 340ml capacity",,,,"pcs","PHP",6.9,1952,"Merla B. Andres"
"NROC Warehouse C","Medical Equipment/Supplies","GLOVES, Kavlar Shell with blue dipped latex, Size 8""",,,,"pairs","PHP",10,384,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","GLOVES, Kavlar Shell with blue dipped latex, Size 9""",,,,"pairs","PHP",10,2080,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","GOWN, Universal,  Blue, Full Cover w/ Banded Ties, Elastic Wrist (50pcs/case)",,,,"cs","PHP",11247.67,50,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","HYDRATION SYSTEM, Platypus Big Zip II, 1.8 Liters Capacity",,,,"sets","PHP",1000,100,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","HYDRATION SYSTEM, Platypus, 2.0 Liters Capacity",,,,"sets","PHP",1200,998,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","HYDRATION SYSTEM, Platypus, Hoser,  3.0 Liters Capacity",,,,"sets","PHP",1500,128,"Second Harvest Japan"
"NROC Warehouse B ","Personal Hygiene","Hygiene Kit bag",,,,"pcs","PHP",0,151,"UNICEF"
"NROC Warehouse C","Medical Equipment/Supplies","INFECTION PROTECTION KIT (composed of: 7pcs N95 Mask, 10pcs Powdered free synthetic gloves & 7 pcs Sanitary wipes) 12packs/case",,,,"pck","PHP",245.95,2176,"Second Harvest Japan"
"NROC Warehouse C","Medical Equipment/Supplies","INFLATABLE MATTRESS, Therma Rest, Medium Lite",,,,"pcs","PHP",3437.65,20,"Second Harvest Japan"
"NROC Warehouse C","Houseware Supplies","Jug, water, plastic with handle & faucet (5 gallons capacity) blue",,,,"pcs","PHP",132,9000,"Lokal Industries"
"NROC Warehouse C","Shelter/Housing/Electrical Supplies/Survival","Junction Box ",,,,"pcs","PHP",99,300,"China (RN 07-12-015)"
"NROC Warehouse C","Houseware Supplies","Kaldero (iron kettle), family size",,,,"pcs","PHP",229,2056,"A. M. Ramos"
"NROC Warehouse C","Houseware Supplies","Kaldero, big,  for community kitchen",,,,"pcs","PHP",2500,62,"Lokal Industries"
"NROC Warehouse C","Houseware Supplies","Kawa, big, for community kitchen",,,,"pcs","PHP",1286,80,"Emmaiah Mktg"
"NROC Warehouse C","Houseware Supplies","Laddle, aluminum, jumbo",,,,"pcs","PHP",45,85,"Merla B. Andres"
"NROC Warehouse C","Houseware Supplies","Laddle, aluminum, regular size",,,,"pcs","PHP",19.68,2650,"Merla B. Andres"
"NROC Warehouse C","Houseware Supplies","Laddles and stirrer",,,,"pcs","PHP",0,151,"UNICEF"
"NROC Warehouse C","Houseware Supplies","Laminated sacks, 8ftx100m",,,,"rolls","PHP",2658.88,900,"Lokal Industries"
